"roi","ACME","ACME_p","ACME_ci_low","ACME_ci_high","ADE","ADE_p","Total","Total_p","Prop_Mediated","Prop_Mediated_p","N"
"brain_sim_0",0.00171307935130872,0.032,0.000128407573944688,0.00406700605090186,0.0765644490408601,0,0.0782775283921688,0,0.0218846888308254,0.032,4392
"brain_sim_1",-0.000453153476977394,0.6,-0.002446154195108,0.00137649212832776,0.0787306818691562,0,0.0782775283921788,0,-0.00578906215212937,0.6,4392
"brain_sim_2",0.00117176991698642,0.082,-0.000109397884083675,0.00314535615898113,0.0771057584751866,0,0.078277528392173,0,0.0149694291714962,0.082,4392
"brain_sim_3",0.000808419772958197,0.318,-0.000867034143746334,0.00289645772653069,0.0774691086192142,0,0.0782775283921724,0,0.0103276098461872,0.318,4392
"brain_sim_4",-0.000275173371808488,0.594,-0.00138774425580857,0.000710011460532944,0.0785527017639748,0,0.0782775283921663,0,-0.00351535590686875,0.594,4392
"brain_sim_5",-0.000484141405108214,0.358,-0.00177448454938206,0.000452837265151196,0.0787616697972851,0,0.0782775283921769,0,-0.00618493474503469,0.358,4392
"brain_sim_6",0.0010488928641381,0.168,-0.000431155719876541,0.00284501110529874,0.0772286355280381,0,0.0782775283921762,0,0.0133996676400291,0.168,4392
"brain_sim_7",8.95818548069212e-05,0.828,-0.000797530547569934,0.0010463830901217,0.0781879465373599,0,0.0782775283921668,0,0.00114441343060961,0.828,4392
"brain_sim_8",-5.53031263405432e-05,0.848,-0.000732185972651725,0.000590352485389356,0.0783328315185171,0,0.0782775283921766,0,-0.000706500671092606,0.848,4392
"brain_sim_9",0.00216105847354268,0.108,-0.000300300405586777,0.00510879217110145,0.0761164699186288,0,0.0782775283921715,0,0.0276076482987014,0.108,4392
"brain_sim_10",-0.000106040575016909,0.78,-0.000981496916979105,0.000587202235685993,0.0783835689671846,0,0.0782775283921676,0,-0.00135467454319264,0.78,4392
"brain_sim_11",-7.28997893034625e-05,0.752,-0.00081295032304025,0.000505651736404654,0.0783504281814701,0,0.0782775283921666,0,-0.000931299068849467,0.752,4392
"brain_sim_12",-0.000241070708692164,0.628,-0.0014109967954931,0.000835682963017381,0.078518599100863,0,0.0782775283921708,0,-0.00307969239248841,0.628,4392
"brain_sim_13",5.85141655133003e-05,0.852,-0.00058827023154014,0.000808666907826992,0.0782190142266523,0,0.0782775283921656,0,0.000747521884188115,0.852,4392
"brain_sim_14",0.00131974969048651,0.092,-0.000141517981024348,0.00329655482899382,0.0769577787016832,0,0.0782775283921697,0,0.0168598794263735,0.092,4392
"brain_sim_15",0.000565299391432523,0.412,-0.000787194451421219,0.00192194751135834,0.0777122290007404,0,0.0782775283921729,0,0.00722173276346124,0.412,4392
"brain_sim_16",-0.000637637853785095,0.188,-0.00222936951655766,0.000270805197188988,0.078915166245962,0,0.0782775283921769,0,-0.00814586084770685,0.188,4392
"brain_sim_17",0.000696432667937916,0.182,-0.000233542663348084,0.00221391530315296,0.0775810957242329,0,0.0782775283921709,0,0.00889696803466743,0.182,4392
"brain_sim_18",-0.000116979682794935,0.798,-0.00111019185940671,0.000696623530017409,0.0783945080749666,0,0.0782775283921717,0,-0.00149442228437342,0.798,4392
"brain_sim_19",-0.000187937998013612,0.636,-0.00121570051833026,0.000475356440793105,0.0784654663901848,0,0.0782775283921712,0,-0.00240091890832373,0.636,4392
"brain_sim_20",-0.000105812093772025,0.76,-0.00100949103422858,0.000598340354901094,0.0783833404859498,0,0.0782775283921778,0,-0.00135175568193591,0.76,4392
"brain_sim_21",-0.000328684035141013,0.466,-0.00153860375580841,0.000444333840597708,0.078606212427308,0,0.078277528392167,0,-0.00419895775827668,0.466,4392
"brain_sim_22",-4.12385784787637e-06,0.972,-0.000636633773227228,0.000506820078652516,0.078281652250024,0,0.0782775283921761,0,-5.26825250181067e-05,0.972,4392
"brain_sim_23",-0.00010708846537059,0.802,-0.00133999862343981,0.00112232931417101,0.078384616857538,0,0.0782775283921674,0,-0.001368061403703,0.802,4392
"brain_sim_24",0.000547515159780611,0.316,-0.000505300418763651,0.00206197202654671,0.0777300132323873,0,0.0782775283921679,0,0.00699453816474094,0.316,4392
"brain_sim_25",0.000146774323591458,0.73,-0.000663014708023764,0.00122962432160923,0.0781307540685816,0,0.0782775283921731,0,0.00187505056184342,0.73,4392
"brain_sim_26",-0.000386531483685766,0.404,-0.00163482151876404,0.000404722930909035,0.0786640598758524,0,0.0782775283921667,0,-0.00493796229422653,0.404,4392
"brain_sim_27",0.000272874996370084,0.566,-0.000821712071440628,0.0014639447954491,0.0780046533957984,0,0.0782775283921685,0,0.0034859940263186,0.566,4392
