subject,run,order,transcribe,subid_check,character,index
1001,1,1,"I don't really feel like I've learned that much about Jack except that he has I'm assuming a wife who's pregnant um, and yeah I don't know what else about him so far.",sub-1001,1.0,1
1001,1,2,"Randall seems to be having a very emotional moment. Um to have I guess step parents. So, he never knew or, I don't know, but was not raised by his birth parents, um, seems really emotional but given that I don't know the context behind the other man I'm not, I feel like it's just justified.",sub-1001,3.0,2
1001,1,3,Kevin seems in one scene very emotional um and angry and then the other he seemed very caring and was supportive of addressing his girlfriend so I feel like there's two sides so far to Kevin that we've seen.,sub-1001,4.0,3
1001,1,4,"Kate seems very upset. I saw that she sprained her ankle, and that she was throwing away all of her food. She seems to be pretty mean to her neighbor or the woman out walking a dog so I am not sure yet if that's a reflection of her character or just that she was really upset about something else.",sub-1001,2.0,4
1001,2,1,"Kate seems to be a little bit controlling but also like she's acting in her best interest. I wasn't sure who that person was with her, since she had the other scene the fairly emotional seeming scene, but I'm not sure.",sub-1001,2.0,5
1001,2,2,"I can kinda understand some of Jack's actions more. he seems fairly calm about everything though about the pregnancy, I feel like I don't know that much about him yet.",sub-1001,1.0,6
1001,2,3,"Randall seems like he has a pretty high stress job, and seems fairly reserved. It didn't change that much of my thoughts about him but it does show me a different side of him and his like work environment.",sub-1001,3.0,7
1001,2,4,"I kind of understand Kevin's outburst a little more now. After seeing his conversation with who I'm assuming to be the director, it kinda made sense why he got so angry because it does seem like he's treated fairly badly when he was just trying to have a concern about his character.",sub-1001,4.0,8
1001,3,1,"Um, I hadn't really known much about Kevin before this, but he seems like a really nice guy and he's just really supportive of his wife and, yeah he just seems all around like a supportive guy.",sub-1001,4.0,9
1001,3,2,"Jack seems pretty calm under pressure of his wife um giving birth. So, uh, yeah. Um, I'm kind of, I'm starting to like him more.",sub-1001,1.0,10
1001,3,3,"Randall, I wouldn't say my thoughts on him have really changed, but I now know he has a wife and a kid, and that he is having conflicting feelings about trying to find his dad.",sub-1001,3.0,11
1001,3,4,"I feel like Kate is, she seems very stressed about her weight and everything. I think also, still just trying to figure out her relationship um, with the other characters.",sub-1001,2.0,12
1001,4,1,"I thought Kevin in a lot of these scenes they almost rationalized his behavior. And then the scene with um Kate, shows that he has a really soft side. Um, and then, it did kind of make sense why he was freaking out about that scene because it does seem pretty humiliating to him.",sub-1001,4.0,13
1001,4,2,"Just that she confirmed she wants to lose weight, but that she's striving to make that change and change things about herself. And that she's also relying on Kevin a lot for help.",sub-1001,2.0,14
1001,4,3,"Randall, he just seems really stressed out about his father, his birth father, and what to do about that. Um, but, it seems like he has a pretty stable nuclear family with his wife and two kids, so I think that should be a good support system for him.",sub-1001,3.0,15
1001,4,4,"I just thought he seemed really upset in that scene. So I was wondering if one of the triplets died. And especially because we didn't see his wife in that scene. I was worrying that something might happen, has happened to her.",sub-1001,1.0,16
