index,name,color,network_17
1,17Networks_LH_VisCent_ExStr_1,#781288,VisCent
2,17Networks_LH_VisCent_ExStr_2,#781289,VisCent
3,17Networks_LH_VisCent_ExStr_3,#78128a,VisCent
4,17Networks_LH_VisCent_ExStr_4,#78128b,VisCent
5,17Networks_LH_VisPeri_ExStrInf_1,#ff0002,VisPeri
6,17Networks_LH_VisPeri_ExStrInf_2,#ff0003,VisPeri
7,17Networks_LH_VisPeri_ExStrInf_3,#ff0004,VisPeri
8,17Networks_LH_SomMotA_1,#4682b5,SomMotA
9,17Networks_LH_SomMotA_2,#4682b6,SomMotA
10,17Networks_LH_SomMotB_Aud_1,#2bcca5,SomMotB
11,17Networks_LH_SomMotB_Aud_2,#2bcca6,SomMotB
12,17Networks_LH_SomMotB_Aud_3,#2bcca7,SomMotB
13,17Networks_LH_SomMotB_Aud_4,#2bcca8,SomMotB
14,17Networks_LH_DorsAttnA_SPL_1,#4a9c3d,DorsAttenA
15,17Networks_LH_DorsAttnA_SPL_2,#4a9c3e,DorsAttenA
16,17Networks_LH_DorsAttnA_SPL_3,#4a9c3f,DorsAttenA
17,17Networks_LH_DorsAttnB_PostC_1,#007610,DorsAttenB
18,17Networks_LH_DorsAttnB_PostC_2,#007611,DorsAttenB
19,17Networks_LH_DorsAttnB_PostC_3,#007612,DorsAttenB
20,17Networks_LH_DorsAttnB_FEF_1,#00770f,DorsAttenB
21,17Networks_LH_SalVentAttnA_ParOper_1,#c43afb,SalVentAttenA
22,17Networks_LH_SalVentAttnA_Ins_1,#c43bfb,SalVentAttenA
23,17Networks_LH_SalVentAttnA_Ins_2,#c43bfc,SalVentAttenA
24,17Networks_LH_SalVentAttnA_ParMed_1,#c43bfd,SalVentAttenA
25,17Networks_LH_SalVentAttnA_FrMed_1,#c53afb,SalVentAttenA
26,17Networks_LH_SalVentAttnB_PFCl_1,#ff99d6,SalVentAttenB
27,17Networks_LH_SalVentAttnB_PFCmp_1,#ff97d6,SalVentAttenB
28,17Networks_LH_Limbic_OFC_1,#7a8733,LimbicA
29,17Networks_LH_Limbic_TempPole_1,#dcf8a5,LimbicB
30,17Networks_LH_Limbic_TempPole_2,#dcf8a6,LimbicB
31,17Networks_LH_ContA_IPS_1,#e69424,ContA
32,17Networks_LH_ContA_PFCl_1,#e69524,ContA
33,17Networks_LH_ContA_PFCl_2,#e69525,ContA
34,17Networks_LH_ContB_PFClv_1,#88324b,ContB
35,17Networks_LH_ContC_pCun_1,#778cb1,ContC
36,17Networks_LH_ContC_pCun_2,#778cb2,ContC
37,17Networks_LH_ContC_Cingp_1,#778cb3,ContC
38,17Networks_LH_DefaultA_PFCd_1,#ffff02,DefaultA
39,17Networks_LH_DefaultA_PCC_1,#fffe01,DefaultA
40,17Networks_LH_DefaultA_PFCm_1,#feff01,DefaultA
41,17Networks_LH_DefaultB_Temp_1,#cd3e4f,DefaultB
42,17Networks_LH_DefaultB_Temp_2,#cd3e50,DefaultB
43,17Networks_LH_DefaultB_IPL_1,#cd3e51,DefaultB
44,17Networks_LH_DefaultB_PFCd_1,#cd3f4f,DefaultB
45,17Networks_LH_DefaultB_PFCl_1,#cd3f50,DefaultB
46,17Networks_LH_DefaultB_PFCv_1,#ce3e4f,DefaultB
47,17Networks_LH_DefaultB_PFCv_2,#ce3e50,DefaultB
48,17Networks_LH_DefaultC_Rsp_1,#000084,DefaultC
49,17Networks_LH_DefaultC_PHC_1,#000183,DefaultC
50,17Networks_LH_TempPar_1,#0929fa,TempPar
51,17Networks_RH_VisCent_ExStr_1,#7c1388,VisCent
52,17Networks_RH_VisCent_ExStr_2,#7c1389,VisCent
53,17Networks_RH_VisCent_ExStr_3,#7c138a,VisCent
54,17Networks_RH_VisPeri_ExStrSup_1,#fa0002,VisPeri
55,17Networks_RH_VisPeri_ExStrSup_2,#fa0003,VisPeri
56,17Networks_RH_VisPeri_ExStrSup_3,#fa0004,VisPeri
57,17Networks_RH_SomMotA_1,#4a83b6,SomMotA
58,17Networks_RH_SomMotA_2,#4a83b7,SomMotA
59,17Networks_RH_SomMotA_3,#4a83b8,SomMotA
60,17Networks_RH_SomMotA_4,#4a83b9,SomMotA
61,17Networks_RH_SomMotB_S2_1,#2fcda5,SomMotB
62,17Networks_RH_SomMotB_S2_2,#2fcda6,SomMotB
63,17Networks_RH_SomMotB_S2_3,#2fcda7,SomMotB
64,17Networks_RH_SomMotB_S2_4,#2fcda8,SomMotB
65,17Networks_RH_DorsAttnA_SPL_1,#4f9b3e,DorsAttenA
66,17Networks_RH_DorsAttnA_SPL_2,#4f9b3f,DorsAttenA
67,17Networks_RH_DorsAttnA_SPL_3,#4f9b40,DorsAttenA
68,17Networks_RH_DorsAttnB_PostC_1,#057610,DorsAttenB
69,17Networks_RH_DorsAttnB_PostC_2,#057611,DorsAttenB
70,17Networks_RH_DorsAttnB_FEF_1,#05770f,DorsAttenB
71,17Networks_RH_SalVentAttnA_ParOper_1,#c83afa,SalVentAttenA
72,17Networks_RH_SalVentAttnA_Ins_1,#c73afb,SalVentAttenA
73,17Networks_RH_SalVentAttnA_FrMed_1,#c739fb,SalVentAttenA
74,17Networks_RH_SalVentAttnA_FrMed_2,#c739fc,SalVentAttenA
75,17Networks_RH_SalVentAttnB_IPL_1,#fa98d6,SalVentAttenB
76,17Networks_RH_SalVentAttnB_PFCl_1,#fa97d6,SalVentAttenB
77,17Networks_RH_SalVentAttnB_PFCmp_1,#fa99d6,SalVentAttenB
78,17Networks_RH_Limbic_OFC_1,#7e8734,LimbicA
79,17Networks_RH_Limbic_TempPole_1,#e0f8a6,LimbicB
80,17Networks_RH_ContA_IPS_1,#ea9323,ContA
81,17Networks_RH_ContA_PFCl_1,#e99423,ContA
82,17Networks_RH_ContA_PFCl_2,#e99424,ContA
83,17Networks_RH_ContB_Temp_1,#8c334c,ContB
84,17Networks_RH_ContB_IPL_1,#8b324a,ContB
85,17Networks_RH_ContB_PFCld_1,#8b314b,ContB
86,17Networks_RH_ContB_PFClv_1,#8b314a,ContB
87,17Networks_RH_ContC_pCun_1,#7b8db1,ContC
88,17Networks_RH_ContC_pCun_2,#7b8db2,ContC
89,17Networks_RH_DefaultA_IPL_1,#fbfe02,DefaultA
90,17Networks_RH_DefaultA_PFCd_1,#fbff03,DefaultA
91,17Networks_RH_DefaultA_PCC_1,#fbfd01,DefaultA
92,17Networks_RH_DefaultA_PFCm_1,#f9ff01,DefaultA
93,17Networks_RH_DefaultB_PFCd_1,#d23f50,DefaultB
94,17Networks_RH_DefaultB_PFCv_1,#d13e4e,DefaultB
95,17Networks_RH_DefaultB_PFCv_2,#d13e4f,DefaultB
96,17Networks_RH_DefaultC_Rsp_1,#050083,DefaultC
97,17Networks_RH_DefaultC_PHC_1,#050084,DefaultC
98,17Networks_RH_TempPar_1,#1030ff,TempPar
99,17Networks_RH_TempPar_2,#0d29fa,TempPar
100,17Networks_RH_TempPar_3,#0d29fb,TempPar
